name,priority,type,query,operator,threshold_critical,threshold_warning,threshold_critical_recovery,message,tags,escalation_message,locked,new_host_delay,notify_audit,notify_no_data,renotify_interval,require_full_window,timeout_h,evaluation_delay,no_data_timeframe,include_tags,enable_logs_sample,threshold_windows_recovery_window,threshold_windows_trigger_window
Terraform (CSV) - AWS EC2 - CPU Avg Usage is high,,query alert,avg(last_1h):avg:aws.ec2.cpuutilization{*},>,25,22,20,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - AWS EC2 - CPU Max Usage is high,,query alert,avg(last_1h):max:aws.ec2.cpuutilization.maximum{*},>,100,95,90,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - AWS EC2 - Network In Avg Usage is high,,query alert,avg(last_1h):avg:aws.ec2.network_in{*},>,3000000,2500000,2000000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,FALSE,,TRUE,,,,FALSE,,,
Terraform (CSV) - AWS EC2 - Network Out Avg Usage is high,,query alert,avg(last_1h):avg:aws.ec2.network_out{*},>,1400000,1200000,1000000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,FALSE,,TRUE,,,,FALSE,,,
Terraform (CSV) - AWS EC2 - Network Out Max Usage is high,,query alert,avg(last_1h):avg:aws.ec2.network_out.maximum{*},>,950000,900000,880000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,FALSE,,TRUE,,,,FALSE,,,
Terraform (CSV) - AWS EC2 - Network In Max Usage is high,,query alert,avg(last_1h):avg:aws.ec2.network_in.maximum{*},>,6000000,4600000,4100000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,FALSE,,TRUE,,,,FALSE,,,
Terraform (CSV) - AWS EC2 - Number of Failed Host Checks is High,1,query alert,avg(last_10m):sum:aws.ec2.status_check_failed{*},>,0,,,"slack-cloud-alerts-bindid-prd
Priority:P1

webhook-XiteIt 

Summary:P1 - {{value}} Failed Host Checks on AWS EC2

Critical Threshold:{{threshold}}
Warning Threshold:-

Host:AWS ALB
Service:Number of Failed Host Checks
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",,,FALSE,300,FALSE,TRUE,0,FALSE,0,900,30,FALSE,,,
Terraform (CSV) - AWS ALB - High Avg Response time on Load Balancer (over 250ms),,query alert,avg(last_1h):avg:aws.applicationelb.target_response_time.average{*},>,0.25,0.22,0.2,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,0,TRUE,0,,120,FALSE,,,
Terraform (CSV) - AWS ELB - Total Request Count Status (Peaks/Drops),,query alert,avg(last_1h):sum:aws.applicationelb.request_count{*}.as_rate(),>,0.67,0.65,0.63,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,120,FALSE,,,
Terraform (CSV) - AWS ELB - High load of 4xx HTTPCode in total,,query alert,sum(last_1h):sum:aws.applicationelb.httpcode_elb_4xx{*} by {host}.as_count(),>,250,220,180,slack-cloud-alerts-bindid-prd,,,FALSE,300,FALSE,FALSE,,TRUE,,,,FALSE,,,
Terraform (CSV) - AWS ALB - 3XX Error Rate is High,1,query alert,sum(last_15m):avg:aws.applicationelb.httpcode_elb_3xx{environment:production}.as_count(),>,9,7,,"Inactive
webhook-XiteIt 

Summary:P1 - 3XX Error Rate is {{value}} on AWS ALB

Critical Threshold:{{threshold}}
Warning Threshold:{{warn_threshold}}

Host:AWS ALB
Service:3XX Error Rate
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",,,FALSE,300,FALSE,TRUE,0,FALSE,0,900,30,TRUE,,,
Terraform (CSV) - AWS ALB - 4XX Error Rate is High,1,query alert,sum(last_15m):sum:aws.applicationelb.httpcode_target_4xx{environment:production}.as_count(),>,50,30,,"slack-bindid-srv-uptime-alerts webhook-Uptime-XiteIt

Summary:P1 - 4XX Error Rate is {{value}} on AWS ALB 

Critical Threshold:{{threshold}}
Warning Threshold:{{warn_threshold}}

Host:AWS ALB
Service:4XX Error Rate
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1,,FALSE,300,FALSE,TRUE,0,FALSE,0,900,30,TRUE,,,
Terraform (CSV) - AWS ALB - 5XX Error Rate is High,1,query alert,sum(last_15m):sum:aws.applicationelb.httpcode_target_5xx{environment:production}.as_count(),>,5,,,"slack-bindid-srv-uptime-alerts webhook-Uptime-XiteIt

Summary:P1 - 5XX Error Rate is {{value}} on AWS ALB

Critical Threshold:{{threshold}}
Warning Threshold:{{warn_threshold}}

Host:AWS ALB
Service:5XX Error Rate
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",Ring1,,FALSE,300,FALSE,TRUE,0,FALSE,0,900,30,TRUE,,,
