name,priority,type,query,operator,threshold_critical,threshold_warning,threshold_critical_recovery,message,tags,escalation_message,locked,new_host_delay,notify_audit,notify_no_data,renotify_interval,require_full_window,timeout_h,evaluation_delay,no_data_timeframe,include_tags,enable_logs_sample,threshold_windows_recovery_window,threshold_windows_trigger_window
Terraform (CSV) - Kubernetes Nodes - CPU Total Usage is high,,query alert,avg(last_1h):avg:kubernetes.cpu.usage.total{*},>,90000000,85000000,80000000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - Kubernetes Nodes - Disk Usage has been exceeded,,query alert,avg(last_30m):avg:kubernetes.filesystem.usage_pct{*},>,0.00047,0.00045,0.00042,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,60,FALSE,,,
Terraform (CSV) - Kubernetes Nodes - Memory Usage is high,,query alert,avg(last_30m):avg:kubernetes.memory.usage{*},>,512000000,480000000,450000000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - Kubernetes Pods - CPU Total Usage is high on pod: {{pod_name.name}},,query alert,avg(last_30m):avg:kubernetes.cpu.usage.total{*} by {pod_name},>,4300000000,4200000000,4000000000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,FALSE,,TRUE,,,,FALSE,,,
Terraform (CSV) - Kubernetes Containers - CPU Usage is high on container: {{kube_container_name.name}},,query alert,avg(last_30m):avg:kubernetes.cpu.usage.total{*} by {kube_container_name},>,680000000,650000000,630000000,CPU Usage is high for the selected service!!! This can include all auth-control services slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,FALSE,,TRUE,,,,FALSE,,,
Terraform (CSV) - Kubernetes Pods - Free Memory Capacity has been exceeded,,query alert,avg(last_30m):avg:kubernetes.memory.capacity{*} - avg:kubernetes.memory.usage{*},>,31000000000,29000000000,29000000000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,60,FALSE,,,
Terraform (CSV) - Kubernetes -  CPU Total Usage is high on Container,2,query alert,avg(last_1m):max:kubernetes.cpu.usage.total{*} by {container_name},>,300000000,250000000,240000000,"slack-cloud-alerts-bindid-prd
Priority:P2
webhook-XiteIt 
Summary:P2 - CPU Usage is {{value}} on Container: {{container_name}}
Critical Threshold:{{threshold}}
Warning Threshold:{{warn_threshold}}

Host:Kubernetes Container:{{container_name}}
Service:CPU Usage
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",,,FALSE,300,FALSE,TRUE,0,TRUE,0,,30,TRUE,,,
Terraform (CSV) - Kubernetes -  CPU Total Usage is high on Node,2,query alert,avg(last_10m):max:kubernetes.cpu.usage.total{*} by {host},>,300000000,250000000,240000000,"slack-cloud-alerts-bindid-prd
Priority:P2

webhook-XiteIt 

Summary:P2 - CPU Usage is {{value}} on Node: {{host}}
Critical Threshold:{{threshold}}
Warning Threshold:{{warn_threshold}}

Host:Kubernetes Node:{{host}}
Service:CPU Usage
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",,,FALSE,300,FALSE,TRUE,0,TRUE,0,600,30,TRUE,,,
Terraform (CSV) - Kubernetes -  CPU Total Usage is high on Pod,2,query alert,avg(last_1m):max:kubernetes.cpu.usage.total{*} by {pod_name},>,300000000,250000000,240000000,"slack-cloud-alerts-bindid-prd
Priority:P2

webhook-XiteIt 

Summary:P2 - CPU Usage is {{value}} on Pod: {{pod_name}}
Critical Threshold:{{threshold}}
Warning Threshold:{{warn_threshold}}

Host:Kubernetes Pod:{{pod_name}}
Service:CPU Usage
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",,,FALSE,300,FALSE,TRUE,0,TRUE,0,,30,TRUE,,,
Terraform (CSV) - Kubernetes -  Memory Usage is high on Container,3,query alert,avg(last_10m):max:kubernetes.memory.usage_pct{*} by {container_name},>,3,2,2,"slack-cloud-alerts-bindid-prd
Priority:P3

webhook-XiteIt 

Summary:P3 - {{value}} Memory Usage on Container: {{container_name}}
Critical Threshold:{{threshold}}%
Warning Threshold:{{warn_threshold}}%

Host:Kubernetes Container:{{container_name}}
Service:Memory Usage
Value:{{value}}%
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",,,FALSE,300,FALSE,TRUE,0,TRUE,0,600,30,TRUE,,,
