name,priority,type,query,operator,threshold_critical,threshold_warning,threshold_critical_recovery,message,tags,escalation_message,locked,new_host_delay,notify_audit,notify_no_data,renotify_interval,require_full_window,timeout_h,evaluation_delay,no_data_timeframe,include_tags,enable_logs_sample,threshold_windows_recovery_window,threshold_windows_trigger_window
Terraform (CSV) - MongoDB - Avg CPU Usage is high,,query alert,avg(last_1h):avg:mongodb.atlas.system.cpu.norm.guest{*} + avg:mongodb.atlas.system.cpu.norm.iowait{*} + avg:mongodb.atlas.system.cpu.norm.irq{*} + avg:mongodb.atlas.system.cpu.mongoprocess.norm.kernel{*} + avg:mongodb.atlas.system.cpu.norm.nice{*} + avg:mongodb.atlas.system.cpu.norm.softirq{*} + avg:mongodb.atlas.system.cpu.norm.steal{*} + avg:mongodb.atlas.system.cpu.norm.user{*},>,8,7,7,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - MongoDB - Avg Disk Space Has Exceeded,,query alert,avg(last_1h):avg:mongodb.atlas.system.disk.space.free{*},>,98500000000,97000000000,97000000000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - MongoDB - Avg Total Disk IOPS is high,,query alert,sum(last_1h):avg:mongodb.atlas.system.disk.iops.total{*}.as_count(),>,30000,28000,25000,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - MongoDB - Process Memory Usage is high,,query alert,avg(last_1h):avg:mongodb.atlas.system.mem.resident{*},>,1750,1740,1740,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - MongoDB - Number of current connections is above 100,,query alert,avg(last_1h):avg:mongodb.atlas.connections.current{*},>,100,95,95,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,0,TRUE,0,,30,FALSE,,,
Terraform (CSV) - MongoDB - Max CPU Usage is high,,query alert,avg(last_1h):max:mongodb.atlas.system.cpu.norm.guest{*} + max:mongodb.atlas.system.cpu.norm.iowait{*} + max:mongodb.atlas.system.cpu.norm.irq{*} + max:mongodb.atlas.system.cpu.mongoprocess.norm.kernel{*} + max:mongodb.atlas.system.cpu.norm.nice{*} + max:mongodb.atlas.system.cpu.norm.softirq{*} + max:mongodb.atlas.system.cpu.norm.steal{*} + max:mongodb.atlas.system.cpu.norm.user{*},>,12,11,11,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - MongoDB - Max Disk Space Is Low,,query alert,avg(last_1h):max:mongodb.atlas.system.disk.space.free{*} - max:mongodb.atlas.system.disk.space.used{*},<,10000000000,11000000000,11000000000,This alert triggers when disk space is below 10GB out of 90GB. slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - MongoDB - Top Hosts with Max CPU Usage,,query alert,"avg(last_4h):anomalies(top(max:mongodb.atlas.system.cpu.norm.user{*} by {hostnameport}, 10, 'mean', 'desc'), 'agile', 2, direction='both', alert_window='last_30m', interval=120, count_default_zero='true')",>=,1,0.9,0,Hostname:{{hostnameport.name}} has Max CPU Usage  slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,last_30m,last_30m
Terraform (CSV) - MongoDB - Top hosts by disk space used (Percentage),,query alert,"avg(last_4h):anomalies(top(max:mongodb.atlas.system.disk.space.percentused{*} by {hostnameport}, 10, 'mean', 'desc'), 'agile', 2, direction='both', alert_window='last_30m', interval=120, count_default_zero='true')",>=,1,0.8,0,Hostname:{{hostnameport.name}} has Max Disk Space used.  slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,last_30m,last_30m
Terraform (CSV) - MongoDB - Query Efficiency,,query alert,avg(last_1h):avg:mongodb.atlas.metrics.queryexecutor.scannedobjectsperreturned{*} + avg:mongodb.atlas.metrics.queryexecutor.scannedperreturned{*},>,1.5,1.3,1.3,Indexing queries and returned results may be slow slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - MongoDB - Total Cursors,,query alert,avg(last_1h):avg:mongodb.atlas.cursors.totalopen{*},>,0.9,0.7,0.7,"When a read query is received, MongoDB returns a cursor which represents a pointer to the data (documents). This cursor remains open on the server, consuming memory and large amount of memory being consumed can cause application issues. slack-cloud-alerts-bindid-prd",,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - MongoDB - Read Operations have a high average latency,,query alert,avg(last_1h):avg:mongodb.atlas.oplatencies.reads.avg{*},>,0.13,0.12,0.12,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
Terraform (CSV) - MongoDB - Write Operations have a high average latency,,query alert,avg(last_1h):avg:mongodb.atlas.oplatencies.writes.avg{*},>,0.5,0.45,0.45,slack-cloud-alerts-bindid-prd,,,TRUE,300,FALSE,TRUE,,TRUE,,,30,FALSE,,,
