name,priority,type,query,operator,threshold_critical,threshold_warning,threshold_critical_recovery,message,tags,escalation_message,locked,new_host_delay,notify_audit,notify_no_data,renotify_interval,require_full_window,timeout_h,evaluation_delay,no_data_timeframe,include_tags,enable_logs_sample,threshold_windows_recovery_window,threshold_windows_trigger_window
Terraform - AWS EC2 - CPU Avg Usage is high,,query alert,avg(last_1h):avg:aws.ec2.cpuutilization{*} ,>,25.0,22.0,20.0,@slack-cloud-alerts-bindid-prd,,,True,300,False,True,,True,,,30,False,,,
Terraform - AWS EC2 - CPU Max Usage is high,,query alert,avg(last_1h):max:aws.ec2.cpuutilization.maximum{*} ,>,100.0,95.0,90.0,@slack-cloud-alerts-bindid-prd,,,True,300,False,True,,True,,,30,False,,,
Terraform - AWS EC2 - Network In Avg Usage is high,,query alert,avg(last_1h):avg:aws.ec2.network_in{*} ,>,3000000.0,2500000.0,2000000.0,@slack-cloud-alerts-bindid-prd,,,True,300,False,False,,True,,,,False,,,
Terraform - AWS EC2 - Network Out Avg Usage is high,,query alert,avg(last_1h):avg:aws.ec2.network_out{*} ,>,1400000.0,1200000.0,1000000.0,@slack-cloud-alerts-bindid-prd,,,True,300,False,False,,True,,,,False,,,
Terraform - AWS EC2 - Network Out Max Usage is high,,query alert,avg(last_1h):avg:aws.ec2.network_out.maximum{*} ,>,950000.0,900000.0,880000.0,@slack-cloud-alerts-bindid-prd,,,True,300,False,False,,True,,,,False,,,
Terraform - AWS EC2 - Network In Max Usage is high,,query alert,avg(last_1h):avg:aws.ec2.network_in.maximum{*} ,>,6000000.0,4600000.0,4100000.0,@slack-cloud-alerts-bindid-prd,,,True,300,False,False,,True,,,,False,,,
AWS EC2 - Number of Failed Host Checks is High,1,query alert,avg(last_10m):sum:aws.ec2.status_check_failed{*} ,>,0.0,,,"@slack-cloud-alerts-bindid-prd
Priority:P1

@webhook-XiteIt 

Summary:P1 - {{value}} Failed Host Checks on AWS EC2

Critical Threshold:{{threshold}}
Warning Threshold:-

Host:AWS ALB
Service:Number of Failed Host Checks
Value:{{value}}
Severity:{{#is_alert}}Critical{{/is_alert}}{{#is_warning}}Warning{{/is_warning}}{{#is_no_data}}No Data{{/is_no_data}}{{#is_recovery}}Recovered{{/is_recovery}}",,,False,300,False,True,0,False,0,900,30,False,,,
Terraform - AWS ALB - High Avg Response time on Load Balancer (over 250ms),,query alert,avg(last_1h):avg:aws.applicationelb.target_response_time.average{*} ,>,0.25,0.22,0.2,@slack-cloud-alerts-bindid-prd,,,True,300,False,True,0,True,0,,120,False,,,
Terraform - AWS ELB - Total Request Count Status (Peaks/Drops),,query alert,avg(last_1h):sum:aws.applicationelb.request_count{*}.as_rate() ,>,0.67,0.65,0.63,@slack-cloud-alerts-bindid-prd,,,True,300,False,True,,True,,,120,False,,,
Terraform - AWS ELB - High load of 4xx HTTPCode in total,,query alert,sum(last_1h):sum:aws.applicationelb.httpcode_elb_4xx{*} by {host}.as_count() ,>,250.0,220.0,180.0,@slack-cloud-alerts-bindid-prd,,,False,300,False,False,,True,,,,False,,,
